,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
288,2019.11.28,,,07.33.05,,25,5G,-94,-10,8.0,12,-74,591,21,D
289,2019.11.28,,,07.33.06,,25,5G,-96,-8,12.0,12,-76,282,10,D
290,2019.11.28,,,07.33.07,,25,5G,-96,-8,12.0,13,-74,2379,51,D
291,2019.11.28,,,07.33.08,,25,5G,-96,-11,2.0,13,-74,281,10,D
293,2019.11.28,,,07.33.10,,25,5G,-90,-11,8.0,13,-71,1516,34,D
294,2019.11.28,,,07.33.11,,18,5G,-90,-11,8.0,13,-71,1516,34,D
295,2019.11.28,,,07.33.12,,18,5G,-90,-11,8.0,13,-71,280,10,D
297,2019.11.28,,,07.33.14,,18,5G,-79,-9,6.0,15,-65,3068,54,D
298,2019.11.28,,,07.33.15,,18,5G,-82,-12,9.0,15,-63,11,0,D
299,2019.11.28,,,07.33.16,,18,5G,-82,-12,9.0,13,-66,280,10,D
301,2019.11.28,,,07.33.18,,18,5G,-80,-10,7.0,12,-60,1253,30,D
303,2019.11.28,,,07.33.21,,18,5G,-82,-9,6.0,12,-69,283,11,D
304,2019.11.28,,,07.33.22,,43,5G,-82,-9,6.0,12,-69,1648,37,D
305,2019.11.28,,,07.33.22,,43,5G,-84,-9,5.0,12,-69,1648,37,D
307,2019.11.28,,,07.33.24,,43,5G,-93,-9,9.0,15,-71,1677,31,D
308,2019.11.28,,,07.33.25,,43,5G,-93,-9,9.0,15,-69,280,11,D
310,2019.11.28,,,07.33.27,,43,5G,-90,-17,15.0,15,-72,1549,42,D
312,2019.11.28,,,07.33.31,,44,5G,-95,-13,1.0,12,-,951,23,D
313,2019.11.28,,,07.33.32,,44,5G,-95,-13,1.0,14,-,279,10,D
315,2019.11.28,,,07.33.34,,44,5G,-90,-11,5.0,15,-,282,10,D
316,2019.11.28,,,07.33.35,,44,5G,-91,-10,6.0,13,-74,890,21,D
317,2019.11.28,,,07.33.37,,44,5G,-91,-10,6.0,15,-79,283,10,D
320,2019.11.28,,,07.33.39,,53,5G,-93,-9,2.0,15,-,2323,47,D
321,2019.11.28,,,07.33.40,,53,5G,-92,-7,7.0,12,-,282,11,D
324,2019.11.28,,,07.33.43,,53,5G,-94,-9,7.0,15,-76,1813,36,D
325,2019.11.28,,,07.33.44,,53,5G,-93,-8,6.0,15,-76,282,10,D
326,2019.11.28,,,07.33.45,,57,5G,-93,-8,6.0,15,-76,282,10,D
328,2019.11.28,,,07.33.47,,57,5G,-92,-9,-2.0,12,-83,2402,44,D
329,2019.11.28,,,07.33.48,,57,5G,-92,-9,-2.0,12,-78,282,10,D
331,2019.11.28,,,07.33.50,,57,5G,-89,-8,8.0,11,-77,248,9,D
332,2019.11.28,,,07.33.51,,57,5G,-92,-10,-1.0,11,-77,780,17,D
333,2019.11.28,,,07.33.52,,57,5G,-92,-10,-1.0,11,-79,780,17,D
335,2019.11.28,,,07.33.54,,57,5G,-90,-10,-3.0,10,-81,282,10,D
336,2019.11.28,,,07.33.55,,57,5G,-90,-10,-3.0,11,-,2179,40,D
337,2019.11.28,,,07.33.56,,57,5G,-92,-12,-1.0,9,-,287,22,D
338,2019.11.28,,,07.33.57,,57,5G,-92,-12,-1.0,9,-,600,874,D
339,2019.11.28,,,07.33.58,,57,5G,-89,-11,1.0,9,-,279,8,D
340,2019.11.28,,,07.33.59,,55,5G,-89,-11,1.0,14,-77,279,8,D
342,2019.11.28,,,07.34.01,,55,5G,-97,-13,-9.0,12,-88,1350,26,D
343,2019.11.28,,,07.34.02,,55,5G,-97,-13,-9.0,9,-,285,10,D
345,2019.11.28,,,07.34.04,,55,5G,-90,-11,2.0,14,-79,276,10,D
346,2019.11.28,,,07.34.05,,55,5G,-94,-13,4.0,14,-81,50,9,D
347,2019.11.28,,,07.34.06,,56,5G,-94,-13,4.0,6,-77,50,9,D
349,2019.11.28,,,07.34.07,,56,5G,-91,-11,-7.0,14,-73,282,10,D
351,2019.11.28,,,07.34.10,,56,5G,-83,-9,7.0,12,-66,1058,23,D
353,2019.11.28,,,07.34.12,,56,5G,-81,-8,15.0,12,-62,277,9,D
